caseid,hh_size,age,sex,race,hispanic,married,gen_health,educ_level,emp_status,worker_class,industry,spouse_emp,num_children,well_rested,life_satisfaction,leisure_min,work_min
20210504212062,2,76,M,White,0,1,Very Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,10,180,0
20210504212063,4,25,F,White,0,0,Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Applicable,2,Somewhat,7,195,0
20210504212067,4,44,F,White,0,1,Good,Bachelors,Employed,Self-Employed,Real Estate,Employed,2,Somewhat,7,325,0
20210504212070,3,29,M,White,0,0,Good,Some College,Employed,Private,Management & Education,Not Applicable,0,A Little,7,15,491
20210504212073,1,42,M,Asian/Pacific Islander,0,0,Poor,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Not at all,6,180,760
20210504212077,2,60,M,White,0,1,Good,HS Graduate,Employed,Private,Manufacturing- Durable Goods,Employed,0,Somewhat,8,780,0
20210504212080,2,64,F,White,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,7,120,0
20210504212082,2,35,M,White,0,1,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Employed,0,Somewhat,10,0,0
20210504212083,5,39,F,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Employed,3,Somewhat,8,60,0
20210504212086,2,78,F,White,0,1,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,A Little,5,435,0
20210504212101,3,85,M,White,0,0,Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,5,547,0
20210504212105,2,74,M,White,0,1,Very Good,Masters,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,10,195,0
20210504212107,1,50,F,White,0,0,Very Good,Some College,Employed,Private,Health Care & Social Services,Not Applicable,0,Somewhat,9,590,0
20210504212110,6,39,F,White,1,1,Very Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Employed,2,Very,10,240,0
20210504212118,3,56,F,White,1,1,Excellent,HS Graduate,Employed,Self-Employed,Other Services,Employed,0,Somewhat,7,255,234
20210504212122,1,65,F,White,0,0,Fair,Bachelors,Unemployed,Not Applicable,Other Services,Not Applicable,0,Very,7,160,120
20210504212127,4,52,M,White,0,1,Fair,Masters,Employed,Self-Employed,Real Estate,Not Employed,2,Somewhat,6,130,510
20210504212128,2,72,F,White,0,1,Excellent,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,10,275,0
20210504212139,3,45,F,White,0,1,Good,Bachelors,Employed,Private,Finance & Insurance,Not Employed,1,Somewhat,8,170,505
20210504212141,2,85,F,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,9,250,0
20210504212146,4,54,F,White,0,1,Excellent,Some College,Employed,Government,Other Services,Not Employed,0,Very,8,0,0
20210504212150,2,59,F,White,0,0,Very Good,Masters,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,10,105,0
20210504212153,2,66,F,White,1,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,1,322,0
20210504212155,1,85,F,White,0,0,Excellent,Masters,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,7,385,0
20210504212159,2,67,F,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,9,618,0
20210504212161,2,39,F,White,1,0,Very Good,HS Graduate,Employed,Private,Accomodation & Food Services,Employed,0,Very,5,215,505
20210504212166,4,37,M,White,0,1,Very Good,Masters,Employed,Government,Other Services,Employed,2,Somewhat,8,135,605
20210504212167,4,35,M,White,0,0,Fair,Some HS,Not in Labor Force,Not Applicable,Other Services,Employed,2,A Little,7,670,0
20210504212172,2,62,F,White,0,1,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,5,665,0
20210504212173,3,33,F,White,0,1,Good,Some College,Employed,Self-Employed,Other Services,Employed,1,Somewhat,10,0,0
20210504212174,5,38,M,White,0,1,Excellent,Bachelors,Employed,Government,Management & Education,Employed,3,Somewhat,7,285,0
20210504212175,3,38,M,White,0,1,Poor,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,6,210,0
20210504212177,1,28,M,Asian/Pacific Islander,0,0,Excellent,Masters,Employed,Private,Finance & Insurance,Not Applicable,0,Very,8,180,0
20210504212179,1,85,M,White,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,9,437,0
20210504212186,1,73,F,White,0,0,Poor,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Not at all,3,625,0
20210504212187,2,73,M,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,665,0
20210504212191,1,27,M,White,0,0,Very Good,Bachelors,Employed,Private,Manufacturing- Durable Goods,Not Applicable,0,Very,10,268,480
20210504212192,1,72,M,White,0,0,Fair,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,7,670,0
20210504212193,2,69,M,White,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,0,Very,5,629,0
20210504212197,2,42,F,White,0,0,Very Good,Some College,Employed,Private,Health Care & Social Services,Not Applicable,1,Somewhat,7,0,495
20210504212201,2,56,M,White,0,1,Good,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Employed,0,Somewhat,8,479,0
20210504212202,2,73,M,White,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,10,340,0
20210504212207,4,51,F,White,0,0,Excellent,Bachelors,Employed,Self-Employed,Real Estate,Not Applicable,1,Somewhat,7,240,435
20210504212215,1,36,M,White,0,0,Good,Bachelors,Employed,Self-Employed,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,7,60,0
20210504212221,5,36,M,White,1,1,Very Good,Some College,Employed,Private,"Agriculture, Mining, Construction",Not Employed,2,Somewhat,8,130,570
20210504212226,2,72,F,White,0,1,Very Good,Bachelors,Employed,Private,Health Care & Social Services,Employed,0,Very,9,340,0
20210504212230,1,60,M,White,0,0,Good,HS Graduate,Employed,Government,Other Services,Not Applicable,0,A Little,6,218,462
20210504212235,7,58,F,White,0,0,Poor,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,7,495,0
20210504212239,3,56,F,Black,0,1,Good,Bachelors,Employed,Private,Management & Education,Employed,0,Somewhat,7,35,451
20210504212242,4,41,M,Asian/Pacific Islander,0,0,Fair,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Employed,2,A Little,6,360,0
20210504212243,6,47,F,White,1,0,Good,HS Graduate,Employed,Private,Management & Education,Not Employed,2,Somewhat,7,150,0
20210504212246,2,71,M,White,0,1,Very Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,10,300,0
20210504212253,2,26,M,Asian/Pacific Islander,0,0,Very Good,Some College,Employed,Government,Other Services,Employed,0,Somewhat,8,250,650
20210504212256,2,79,M,White,0,1,Fair,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,600,0
20210504212258,2,70,F,White,0,1,Fair,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,A Little,6,760,0
20210504212261,4,53,F,White,0,1,Good,Masters,Employed,Private,Management & Education,Employed,1,Somewhat,10,170,420
20210504212271,1,75,F,Black,0,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,256,0
20210504212272,2,77,F,White,0,1,Poor,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Not at all,3,989,0
20210504212277,1,66,F,White,0,0,Excellent,Bachelors,Employed,Self-Employed,Real Estate,Not Applicable,0,Very,7,80,480
20210504212278,2,76,M,Black,0,1,Poor,Masters,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,8,600,0
20210504212282,3,66,M,White,1,1,Excellent,HS Graduate,Employed,Government,Manufacturing- Durable Goods,Not Employed,0,Very,10,410,498
20210504212283,5,37,F,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,3,Somewhat,7,225,0
20210504212284,1,80,F,White,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Not at all,8,609,0
20210504212287,2,59,M,White,0,1,Good,HS Graduate,Employed,Private,Management & Education,Employed,0,Somewhat,8,370,0
20210504212318,2,49,F,White,0,0,Very Good,Masters,Employed,Private,Health Care & Social Services,Not Applicable,1,Very,9,150,15
20210504212322,1,30,M,Black,0,0,Excellent,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Very,8,90,625
20210504212323,3,25,F,Asian/Pacific Islander,0,0,Very Good,Bachelors,Employed,Private,Real Estate,Not Applicable,0,A Little,3,210,180
20210504212326,2,26,F,White,244,0,Very Good,Bachelors,Employed,Private,Real Estate,Not Applicable,0,Very,7,90,402
20210504212334,1,44,F,White,0,0,Very Good,Bachelors,Employed,Private,Management & Education,Not Applicable,0,Very,8,584,0
20210504212344,1,73,F,White,0,0,Excellent,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,10,0,0
20210504212345,1,64,F,White,0,0,Very Good,Bachelors,Employed,Self-Employed,Finance & Insurance,Not Applicable,0,Very,10,420,0
20210504212350,2,62,F,White,0,1,Very Good,HS Graduate,Employed,Private,Health Care & Social Services,Employed,0,Very,7,90,0
20210504212351,2,52,M,White,0,0,Very Good,Bachelors,Employed,Private,"Agriculture, Mining, Construction",Not Applicable,1,Somewhat,7,210,435
20210504212356,2,64,M,White,0,1,Excellent,Some College,Employed,Self-Employed,Manufacturing- Durable Goods,Employed,0,Somewhat,7,390,120
20210504212360,4,73,M,White,0,1,Very Good,Professional/PhD,Not in Labor Force,Not Applicable,Other Services,Employed,0,Somewhat,8,795,0
20210504212362,1,53,F,White,0,0,Very Good,Masters,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Very,8,120,0
20210504212367,5,39,F,White,1,1,Very Good,Some College,Employed,Self-Employed,"Agriculture, Mining, Construction",Employed,3,Very,6,345,0
20210504212369,2,61,F,Black,0,1,Good,Bachelors,Employed,Government,Other Services,Employed,0,Somewhat,8,710,0
20210504212371,1,80,F,White,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,6,585,0
20210504212374,2,60,M,White,0,1,Very Good,HS Graduate,Employed,Private,Manufacturing- Durable Goods,Employed,0,Somewhat,8,525,0
20210504212381,5,39,F,White,0,1,Very Good,Some College,Not in Labor Force,Not Applicable,Other Services,Employed,3,Very,6,330,0
20210504212382,2,57,M,White,0,1,Very Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Employed,0,Very,8,205,480
20210504212386,1,70,F,Black,0,0,Good,HS Graduate,Employed,Private,Health Care & Social Services,Not Applicable,0,Not at all,10,60,0
20210504212388,2,39,M,White,0,1,Very Good,Bachelors,Employed,Private,Real Estate,Employed,0,Somewhat,7,210,0
20210505210015,1,58,M,White,0,0,Fair,Middle,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,3,585,0
20210505210061,1,23,M,White,0,0,Excellent,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Very,10,180,0
20210505210147,5,19,M,White,0,0,Very Good,HS Graduate,Unemployed,Not Applicable,Other Services,Not Applicable,0,Very,6,645,0
20210505210182,6,15,M,2+ Races,0,0,Excellent,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,9,360,0
20210505210190,5,23,M,White,1,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,240,0
20210505210217,4,17,F,2+ Races,0,0,Very Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,10,315,0
20210505210263,4,19,F,White,0,0,Very Good,Some College,Employed,Private,Health Care & Social Services,Not Applicable,0,Somewhat,7,60,575
20210505210313,2,23,M,White,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,0,Somewhat,5,180,0
20210505210319,4,22,M,Asian/Pacific Islander,0,0,Very Good,Bachelors,Employed,Private,Real Estate,Not Applicable,0,Very,7,560,0
20210505210503,2,64,M,White,0,1,Excellent,Some College,Not in Labor Force,Not Applicable,Other Services,Employed,0,Very,9,270,0
20210505210518,1,61,F,White,0,0,Fair,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Not at all,8,900,0
20210505210520,3,31,M,White,0,1,Very Good,Bachelors,Employed,Private,"Agriculture, Mining, Construction",Employed,1,Somewhat,6,120,480
20210505210543,4,55,M,Asian/Pacific Islander,0,0,Good,Some HS,Employed,Government,Manufacturing- Durable Goods,Not Employed,0,Not at all,10,330,60
20210505210586,1,60,F,Black,0,0,Very Good,Masters,Employed,Private,Health Care & Social Services,Not Applicable,0,Very,8,660,0
20210505210643,5,41,M,White,0,1,Fair,Masters,Employed,Government,Other Services,Not Employed,3,A Little,8,205,0
20210505210658,1,48,F,White,0,0,Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,7,330,0
20210505210679,2,59,M,White,0,1,Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Not Employed,0,Very,10,330,0
20210505210683,6,44,M,White,0,0,Fair,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Employed,2,A Little,7,255,600
20210505210729,3,60,F,White,0,1,Good,HS Graduate,Employed,Government,Management & Education,Employed,0,A Little,10,180,315
20210505210749,1,58,M,White,0,0,Poor,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,8,530,0
20210505210756,2,61,M,White,0,1,Good,HS Graduate,Employed,Self-Employed,"Agriculture, Mining, Construction",Employed,0,Somewhat,8,147,60
20210505210763,2,75,F,Black,0,1,Very Good,Bachelors,Unemployed,Not Applicable,Other Services,Not Employed,0,Very,8,180,0
20210505210782,2,74,M,White,0,1,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,625,0
20210505210784,4,36,M,White,0,1,Very Good,Bachelors,Employed,Government,Other Services,Employed,2,A Little,6,585,300
20210505210792,1,72,F,White,0,0,Very Good,Some College,Employed,Private,Other Services,Not Applicable,0,Very,10,523,0
20210505210814,1,80,F,White,0,0,Good,HS Graduate,Employed,Private,Health Care & Social Services,Not Applicable,0,Somewhat,5,255,185
20210505210823,3,38,F,White,0,1,Good,Masters,Employed,Private,Real Estate,Employed,1,Somewhat,8,345,0
20210505210858,5,26,F,White,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,3,Very,10,300,0
20210505210863,2,51,F,White,0,1,Good,Professional/PhD,Employed,Government,Other Services,Employed,0,Somewhat,7,15,843
20210505210868,2,54,M,White,1,1,Fair,Some HS,Employed,Self-Employed,Manufacturing- Non-Durable Goods,Employed,0,A Little,10,240,235
20210505210869,1,79,F,White,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,455,0
20210505210926,3,61,F,White,0,1,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,10,250,0
20210505210938,2,85,M,White,0,0,Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,10,655,0
20210505210939,5,69,M,White,0,0,Excellent,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,9,0,0
20210505210943,1,74,F,White,0,0,Fair,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,7,522,0
20210505210958,1,64,M,White,1,0,Good,Elementary,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Not at all,8,1048,0
20210505211020,2,62,M,2+ Races,1,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,6,480,0
20210505211027,1,29,M,White,0,0,Very Good,Bachelors,Employed,Private,Real Estate,Not Applicable,0,A Little,6,290,0
20210505211042,5,36,F,Asian/Pacific Islander,0,1,Fair,Bachelors,Employed,Government,Other Services,Employed,1,Very,8,375,0
20210505211045,4,38,F,White,0,1,Fair,Bachelors,Employed,Government,Management & Education,Employed,2,A Little,3,190,379
20210505211071,2,67,M,White,0,1,Very Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,0,Very,10,170,0
20210505211074,6,34,M,White,1,1,Good,Middle,Employed,Private,"Agriculture, Mining, Construction",Not Employed,4,Very,2,415,0
20210505211082,2,66,F,Black,0,1,Excellent,Some College,Employed,Self-Employed,"Agriculture, Mining, Construction",Not Employed,0,Very,8,87,500
20210505211092,1,26,M,White,0,0,Excellent,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,7,240,0
20210505211104,1,61,M,White,0,0,Good,Bachelors,Employed,Private,Health Care & Social Services,Not Applicable,0,Somewhat,8,595,45
20210505211110,3,57,M,White,0,0,Very Good,Bachelors,Employed,Private,Real Estate,Employed,0,Not at all,10,120,673
20210505211115,2,73,F,White,1,1,Excellent,Elementary,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,10,0,0
20210505211131,1,66,M,White,0,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,7,180,0
20210505211144,2,45,F,White,1,1,Good,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Employed,0,Somewhat,7,562,0
20210505211155,2,66,F,White,0,1,Excellent,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,10,415,0
20210505211161,3,44,F,Black,0,1,Good,Some College,Employed,Government,Other Services,Employed,1,Very,8,180,0
20210505211164,1,62,M,White,0,0,Poor,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,A Little,0,373,0
20210505211213,1,69,F,White,0,0,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,5,60,0
20210505211234,1,61,M,White,1,0,Good,Middle,Employed,Self-Employed,"Agriculture, Mining, Construction",Not Applicable,0,Very,8,0,750
20210505211238,4,34,M,White,1,1,Good,Some College,Employed,Private,Health Care & Social Services,Employed,2,Somewhat,8,150,510
20210505211278,4,29,M,Black,0,1,Very Good,Some College,Employed,Private,Finance & Insurance,Employed,2,Somewhat,9,330,0
20210505211284,2,67,F,White,0,1,Very Good,Professional/PhD,Employed,Private,Management & Education,Not Employed,0,Very,9,190,0
20210505211287,2,73,M,White,0,1,Good,Some College,Employed,Self-Employed,Other Services,Employed,0,Very,5,370,0
20210505211297,2,64,F,White,0,1,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Employed,0,Very,10,540,0
20210505211299,4,40,M,White,0,1,Very Good,Bachelors,Employed,Government,Health Care & Social Services,Employed,2,Somewhat,10,140,475
20210505211303,1,28,M,White,0,0,Very Good,Some HS,Employed,Private,Accomodation & Food Services,Not Applicable,0,Somewhat,7,230,615
20210505211309,1,74,F,Black,0,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,7,606,0
20210505211350,1,85,M,White,0,0,Excellent,Masters,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,10,180,0
20210505211356,4,48,M,White,0,1,Good,Bachelors,Employed,Private,Accomodation & Food Services,Not Employed,2,A Little,6,520,0
20210505211360,1,57,M,White,0,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,9,240,0
20210505211396,1,76,F,White,0,0,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,195,0
20210505211422,4,80,F,White,0,0,Very Good,Masters,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,10,60,0
20210505211434,3,26,M,White,0,0,Very Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,10,440,0
20210505211437,2,61,F,White,0,1,Very Good,Some College,Employed,Private,Health Care & Social Services,Not Employed,0,Very,6,60,0
20210505211449,2,71,F,White,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Somewhat,10,731,179
20210505211451,4,35,M,White,0,0,Very Good,Some HS,Employed,Private,Information,Not Applicable,0,Somewhat,8,390,0
20210505211452,2,70,F,Black,0,1,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Employed,0,Somewhat,6,270,0
20210505211489,1,34,M,White,0,0,Good,Bachelors,Employed,Private,Real Estate,Not Applicable,0,Somewhat,6,90,465
20210505211498,2,32,M,Asian/Pacific Islander,1,1,Good,Bachelors,Employed,Government,Other Services,Employed,0,Somewhat,6,20,570
20210505211523,1,68,F,White,0,0,Good,Some College,Employed,Self-Employed,Real Estate,Not Applicable,0,Somewhat,6,115,50
20210505211552,4,34,M,White,0,1,Very Good,Bachelors,Employed,Private,Finance & Insurance,Employed,1,Somewhat,7,60,505
20210505211647,2,54,F,White,0,0,Excellent,Professional/PhD,Employed,Private,Management & Education,Not Applicable,1,Very,8,210,0
20210505211667,1,77,F,White,0,0,Very Good,Some College,Unemployed,Not Applicable,Other Services,Not Applicable,0,Very,9,590,0
20210505211682,2,75,M,White,0,1,Excellent,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,668,0
20210505211684,4,55,F,White,0,1,Good,Some College,Employed,Private,Other Services,Employed,1,Somewhat,6,270,150
20210505211695,6,53,M,White,0,0,Good,HS Graduate,Employed,Private,Other Services,Not Applicable,0,Very,8,190,240
20210505211698,2,36,F,White,0,0,Very Good,Masters,Employed,Government,Management & Education,Not Applicable,1,Somewhat,7,255,0
20210505211713,8,35,F,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Employed,6,A Little,10,310,0
20210505211716,1,68,M,White,0,0,Excellent,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,9,180,0
20210505211743,1,53,M,White,1,0,Good,HS Graduate,Employed,Private,Manufacturing- Durable Goods,Not Applicable,0,Very,7,510,0
20210505211749,1,54,F,White,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,10,675,0
20210505211752,1,64,F,White,0,0,Very Good,Some College,Employed,Private,Real Estate,Not Applicable,0,Very,9,450,0
20210505211779,2,31,F,White,0,1,Excellent,Bachelors,Employed,Private,Real Estate,Employed,0,Not at all,7,120,15
20210505211799,3,53,F,White,0,1,Good,Professional/PhD,Employed,Self-Employed,Real Estate,Employed,0,A Little,7,90,0
20210505211824,4,49,F,Black,0,1,Good,Bachelors,Employed,Private,Finance & Insurance,Employed,1,Somewhat,8,560,0
20210505211868,2,80,M,White,0,1,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Employed,0,Somewhat,8,340,0
20210505211886,1,79,M,White,0,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,8,555,0
20210505211916,2,55,M,Black,0,1,Very Good,HS Graduate,Employed,Private,"Agriculture, Mining, Construction",Employed,0,A Little,3,285,415
20210505211928,1,58,M,White,0,0,Very Good,Bachelors,Employed,Self-Employed,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,7,0,430
20210505211931,2,69,F,White,1,1,Fair,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,10,550,0
20210505211984,3,68,M,White,0,1,Good,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,624,0
20210505211998,2,74,F,White,0,1,Good,HS Graduate,Employed,Private,Other Services,Not Employed,0,Somewhat,3,90,461
20210505212002,3,52,F,White,0,1,Very Good,Masters,Employed,Private,Manufacturing- Non-Durable Goods,Employed,1,Somewhat,7,225,0
20210505212018,3,31,M,White,0,1,Fair,Masters,Employed,Private,Real Estate,Employed,1,Not at all,10,70,555
20210505212033,2,56,F,White,0,1,Fair,HS Graduate,Employed,Government,Other Services,Employed,0,Somewhat,8,206,465
20210505212036,2,62,F,White,0,1,Very Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,8,660,0
20210505212044,2,33,M,White,0,0,Very Good,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,7,150,440
20210505212061,1,80,M,Asian/Pacific Islander,0,0,Very Good,Masters,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,10,540,0
20210505212066,3,39,F,White,0,0,Good,Bachelors,Employed,Private,Other Services,Employed,1,Somewhat,8,60,400
20210505212153,3,55,F,White,0,1,Excellent,Some College,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,9,165,0
20210505212191,2,39,F,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Not Employed,0,Very,9,405,0
20210505212203,6,34,M,White,1,1,Good,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Employed,0,A Little,6,235,565
20210505212224,3,30,F,White,1,0,Fair,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Employed,1,Not at all,7,10,0
20210505212249,4,38,M,White,0,1,Very Good,Some College,Employed,Government,Management & Education,Not Employed,2,Somewhat,6,122,532
20210505212269,5,32,F,White,0,0,Good,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,4,A Little,4,60,0
20210505212286,2,75,F,White,0,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Very,7,705,0
20210603210089,2,56,M,White,0,1,Good,Professional/PhD,Employed,Self-Employed,Manufacturing- Non-Durable Goods,Not Employed,0,Somewhat,6,180,450
20210603210151,5,22,M,Black,0,0,Good,Some College,Employed,Private,Accomodation & Food Services,Not Applicable,0,Somewhat,7,660,0
20210603210809,3,44,M,Asian/Pacific Islander,0,0,Excellent,HS Graduate,Employed,Private,Accomodation & Food Services,Not Applicable,0,Very,10,200,540
20210603211237,1,70,F,Black,0,0,Fair,HS Graduate,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,8,285,0
20210603211383,2,26,F,White,0,1,Very Good,Bachelors,Not in Labor Force,Not Applicable,Other Services,Employed,0,Very,5,215,0
20210604210008,4,50,M,White,0,1,Good,Bachelors,Employed,Private,Health Care & Social Services,Employed,1,Very,9,285,0
20210604210031,1,53,F,Black,0,0,Good,Masters,Employed,Government,Health Care & Social Services,Not Applicable,0,Very,6,163,450
20210604210047,2,18,F,White,1,0,Poor,HS Graduate,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Not at all,6,300,0
20210604210127,3,21,M,White,1,0,Poor,HS Graduate,Employed,Private,"Agriculture, Mining, Construction",Not Applicable,0,Somewhat,8,75,515
20210604210181,4,17,M,Asian/Pacific Islander,0,0,Excellent,Some HS,Employed,Private,Management & Education,Not Applicable,0,A Little,7,305,120
20210604210186,3,22,F,White,0,0,Good,Some College,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,A Little,6,500,195
20210604210217,3,23,F,Asian/Pacific Islander,0,0,Very Good,Bachelors,Employed,Private,Manufacturing- Non-Durable Goods,Not Applicable,0,Somewhat,8,0,430
20210604210239,4,20,F,White,1,0,Good,Some College,Employed,Private,Accomodation & Food Services,Not Applicable,0,Somewhat,5,130,485
20210604210252,4,20,M,White,0,0,Excellent,Some College,Unemployed,Not Applicable,Other Services,Not Applicable,0,A Little,7,325,0
20210604210271,1,23,M,White,0,0,Excellent,Some College,Employed,Private,Health Care & Social Services,Not Applicable,0,A Little,6,240,0
20210604210273,2,16,M,Black,0,0,Very Good,Some HS,Not in Labor Force,Not Applicable,Other Services,Not Applicable,0,Somewhat,6,506,0
