INJ_BODY_PART,NARRATIVE
BACK,Employee using pound sledge hammer close slide gate finish mill feed belt strained back Employee placed restricted duty returned work
SHOULDER,Changing rollers Secondary crusher area A S conveyor While removing old roller frame twisted left shoulder treated WorkNet shoulder injury time accident Went arthroscopic surgery working
FINGER(S),Employee cut finger working loader He removing cylinder pin He got finger pinched cut He reported injury First Aid treatment given He refused ER went back work On May Mine Manager discussed finger pain Employee went ER Xray negative Antibiotic prescribed Employee returned work
FINGER(S),Employee fell back DT dozer ground resulting abrasion face contusion right thigh fracture left index finger
ANKLE,EE setting belt head stepped backwards stepped crib block causing fall fracturing hairline left ankle
EYE(S),Employee working dozer belly pan wind blew small pieces metal right eye Employee wearing safety glasses time The eye washed st aid station ee went back work however next morning eye still irritated He went ER material removed allowed come back work permanent damage
SHOULDER,Employee dragging fuel hose hose got caught rock pulling around hurting left shoulder
ANKLE,Employee twisted ankle stepping van Employee returned clinic continued pain given work restrictions
EYE(S),Grinding metal dark location took glasses small piece metal got left eye wasnt imbedded doctor remove
KNEE,EE reported conducting routine work felt pop left knee Employer Red Lining case due late report EE surgery left knee Employer contends work related injury
SHOULDER,Worker moving piece stone split The stone shifted lost grip injuring Right shoulder Worker reported injury supervisor decided treat injury timeInjury get better injury first reported office worker went treatment Worker restricted duty time
FINGER(S),SUTURES While unloading beams flat car went set beam caught finger beam rock foot wall
BACK,EE changing batteries section scoop When went throw battery ball jumper onto scoop felt sharp pain lower back
HAND,The man removing nail canvas hand slipped caught edge roof bolt plate causing laceration Report filed Medical Treatment Only sutures
FINGER(S),dropped large stone right index finger
KNEE,The employee walking stacker belt stepped hole hurt left knee Xrays taken Davis Memorial Hospital negative employee returned work next scheduled shift The employee continued pain seen orthopedist recommended surgery Monday July EE operated work
KNEE,EE stepped miner bit caused twist L knee He went MedExpress Lewisburg diagnosed internal derangement knee LTA This report abate citation
EYE(S),While moving dust bags shoulder materiel shot bags face eyes Employee wearing eye protection dust got left eye around safety glasses Employee rinsed eye didnt problem rest shift Next day Sun Called Super reported Emp went Doctor foreign body removed
BACK,Employee cleaning dash haul truck cab felt pain left lower back It became worse seen ER released full duty On seen pain increased put work site could accommodate restrictions
BACK,Employee stated bolting unit He finished hole starter steel inserted finisher steel felt pain lower back
MULTIPLE,Lifting corner bridge crane ton hydraulic cylinder portapower remove cribbing crane As crane lifted cylinder ejected crane hit employee chest Contusion chest heart lungs spleen laceration liver broken ribs
MULTIPLE,The foreman turned exited pickup truck upon placing feet upon ground experienced pain lower back front thigh radiated downward past knee
FINGER(S),EE pushing hoist lever lower dump body lever slipped recoiled EEs thumb The EE felt pain thumb full movement The discomfort go away EE chose see Dr EE fractured thumb
KNEE,Employee working knees As employee stood felt sharp pain right knee
FINGER(S),Employee placing guard back flatbed truck pinched finger guard truck amputating tip left long finger
FINGER(S),Employees drill steel became stuck hole When pulled steel came catching finger steel roof drill head Determination fracture made
MULTIPLE,Employee walking plant struck head pipe Employee continued work missing time Employee started physical therapy treatments He received third treatment This accident reportable
FINGER(S),Crew attempting pull stuck tube employee used parmalay wrench rotate rods rods dropped pinching finger wrench rotation guard resulting open fracture tip left little finger
BACK,Employee picking trash physical test lab moving cement cubes one bag another He began lower back pain heard pop
HAND,While using chisel remove teeth loader bucket chisel broke struck hammer causing injury miners left hand
BACK,While moving ATV new boring location wet mud began build rear ATV tires Employee got shovel try remove accumulated mud The shovel became stuck mud attempted dislodge states felt heard snap lower back He coworker accompany vehicle drive hospital
KNEE,Employee exiting shuttle car twisted right knee He continued work At time taken doctor began missing work
FINGER(S),The individual roof bolting finished drilling hole drill steel fell hole hitting left hand causing fracture ring finger
BACK,Employee scraping roadway backhoe see washed area side road backhoe overturned onto side
FINGER(S),Employee hitting cable cutter mine axe mine axe slipped cable cutter finger L hand got handle hand rail resulting laceration required sutures Full release issued days lost
MULTIPLE,Employee stated hit hole roadway jarred neck shoulder lower back Employee missed first shift This accident reportable Unable obtain medical records ER Doctor signed initial visit
SHOULDER,IE rotating tire manually K rubber tired dozed standing push arm block slipped caught IE began feel pain shoulder IE seen orthopedic specialist determined severe rotator cuff muscle tear require surgery repair making lost time injury
EYE(S),Employee dumping empty bags outside trash dumper wind blew residue bags face He got material left eye He flushed eye returned work next morning red irritated He carried walkin clinic doctor examined eye
KNEE,Employee stepping onto trailer servicing equipment heard knee pop
HAND,Using backhoe clean mud clay rock raised bed articulated haul truckworking backhoe bucket near midsection bedglob mud fell side inner bed striking backhoe bucketrock part glob material rolled bucket stricking web EEs left hand resulting seven stichesno lost time change duties
HAND,While operating Shearer rock flipped pan line chain struck employee right hand causing laceration
MULTIPLE,EE walking one crosscut outby face entry toward face entry struck shuttle car
EYE(S),An employee using impact wrench attempting remove rusted bolts Line Finisher Feed Autovalve The employee looked debris fell eye He evaluated Physician prescription eye drops ordered returned work
FINGER(S),Wheel chock fell top truck caught employees ring finger chock edge truck
FINGER(S),EE walked pallet retrieve small piece angle iron bent pick lost balance falling pallet The employee put hands right hand went slats pallet catching thumb forcing backwards Surgical intervention required
HAND,EE cutting piece cable open copper foil cable piece copper cut EEs left hand recieved four stitches
ANKLE,Employee clocked drove kiln employee parking area proceeded walk Kiln control room As stepped onto first catwalk located Unit train conveyor outside Unit train stone tunnel right foot landed wrong walkway turning right ankle
MULTIPLE,Dozer operator working fill downhill slope The rock truck turned backing grade brakes failed The truck hit roll cab dozer The truck loaded
KNEE,Working Excavator fell machine twisting knee
BACK,Employee operating front end loader drove water covered hole
FINGER(S),Employee installing roof bolt While drill steel fell hole drilled struck left middle finger
EYE(S),The miner cutting steel got piece metal eye The miner wearing cutting glasses time accident
KNEE,He unloading post car one rolled hit left knee We dispute allegations Citation submit report solely terminate citation
BACK,Employee inspecting walls bag houses standing electrical raceway weld broke fell deck landing feet feet Not wearing Harness following procedure scaffolding area He received minor cuts sore back fall
MULTIPLE,EE exposed CausticLiquor face neck chest eyes attempting clear plugged one inch air hose EE evaluated treated onsite medical staff EE transported offsite medical facility additional evaluation treatment EE taken work offsite medical provider
MULTIPLE,Slipped tracks excavator falling shot rockhair line fracture left elbowcuts left kneecuts face
ANKLE,Employee carrying concrete block twisted left ankle resulting fracture Restricted Duty
FINGER(S),He stacking rock slipped mashed st finger left hand Just tip finger
SHOULDER,Employee standing right rear platform rubber tire dozer When turned around lost balance fell approximately feet landing shoulder head Employee broken collar bone
MULTIPLE,Bates Contractor riding Mac man trip section The ride hit bump causing severe pain lower back left leg
FINGER(S),Employee removing chain stuck mast lull Employee pulled chain mast backstop mast swung back backstop catching employees fingers resulted fractured fingers
FINGER(S),Cutting metal grinder blade pinched causing grinder jump cut finger
KNEE,Employee safety inspection stepped step missed next step Caught put pressure knee heard pop
MULTIPLE,Clearing brush trees hillside came contact Poison Oak Employee allergic apparently Poison Oak spread various parts body
FINGER(S),While bolting structural steel employee got finger pinched lining bar beam
SHOULDER,EE walking shallow bin area foot slipped grabbed onto wall keep slipping He sprained shoulder action resulting restricted duty work
BACK,Assisting cleaning pile material felt back pain twisting
ANKLE,While employee one knee bolting piece coalrock fell striking ankle causing injury The employee stated examined work area prior start task deemed area safe work
MULTIPLE,Injured employee pulling roof bolter cable around block ran excess slack cable pulled tight forced injured employee ground resulting striking right shoulder causing strained shoulder neck muscles
MULTIPLE,EE clearing clogged pipe using ft piece allthread electric drill EE made bend end allthread using cutting torch As EE finished heating bending end allthread small fire started result cutting torch EE suffered nd degree burns upper right arm neck area
KNEE,Employee slipped wet material conveyor pit July He felt fine incident report company The employee started discomfort left knee early August place work modifications MRI sprained ACLPCL Physical Therapy treatment plan
BACK,Lower back muscle strain installing trans pump
HAND,Reportable due sutures Employee using pry bar work cat track roof bolter The pry bar slipped pinched right hand bar hose manifold
BACK,The employee stated tramming bolter Entry A Mains Section A piece rock fell top striking lower back right side
EYE(S),Around hours welding grinding Ref screen EE felt object eye
SHOULDER,As employee walking around mantrip slipped fell Employee landed ground causing shoulder dislocate He transported Raleigh General Hospital diagnosed shoulder dislocation small fracture Medical staff set shoulder back place referred employee specialist evaluation
SHOULDER,Injured employee stated using pick break compacted rock dust spur East Mains haulage felt pain left shoulder
EYE(S),While pulling grinder working position scaffolding grinder came loose snag struck employee left eye Received sutures
BACK,While operating mantrip struck battery ramcar travelway The impact caused strike head leaving laceration EMTs placed backboard transported ambulance Springfield Memorial ER Treatment included staples close wound A CT Scan revealed transverse process fractures He admitted observation discharged
FINGER(S),A worker received fracture right index finger tip caught fork back rest extend reach fork lift greasing fork slide bar
EYE(S),Employee attempting clear chute plugged lime Using rod clear plug struck pocket hot lime blew back employees face entering eyes behind safety glasses wearing resulting use antibiotic medication
BACK,Employee moving gasoline dewatering pump shifting hill Reached get gas felt twinge lower back
BACK,Employee work deck Holding concrete trunk hose Received jolts hose concrete poured shut Caused pulled muscle back
FINGER(S),The plant shut EE went install B belt classifier fan He pulled belt assistant pushed causing right pinky finger run belt sheave Finger broken bleeding due torn tissue He taken specialist Powell Wyoming successful surgery Though serious injury life threatening
SHOULDER,EE cleaning overchute cone crusher pulling rock away felt sharp pain starting shoulder ran arm This incident considered illness due fact previous injury occurred shoulder back
BACK,Employee driving Haul Truck quarry felt discomfort lower back discomfort continued sought treatment
HAND,While bolting back rock fell struck miner causing laceration The laceration required sutures
FINGER(S),While unloading shaft liner plate carrier form tied tugger raised unexpectedly pinched employees thumb liner plate cross beam Galloway
FINGER(S),Employee supervisor working plant electricians replacing transformer failed The employee attempting remove insulation CFM cable knife slipped resulted laceration back left thumb
BACK,Employee using sledge hammer break nut loose crusher He complained back soreness next day He note pain home night
FINGER(S),A mechanic attempting pull gear across work table toward crane The gear slipped table pinching finger The wound took sutures close given full duty release He returned work shift
BACK,EE mounting blade He hand grab iron feet steps His right hand came loose right grab iron slipped twisting back Taken ER placed restrictions
HAND,EE process removing motor base bolt The crescent wrench slipped nut struck EEs right hand EE went receive medical attention due amount pain Luckily broken bones stitches required The Doctor put EE restricted duty lifting items greater pounds
MULTIPLE,When exiting Volvo Loader employee misjudged handrail missed handhold fell Left shoulder hit concrete pier right leg got hung ladder right knee twisted
ANKLE,Operator reported twisted ankle sure work home On employee put lite duty By Doctor told wear boot cast relieve pain Employee moved work site office No MISSED Work
FINGER(S),process removing belt roller roller slipped causing employees left little finger mashed belt rail resulting laceration required sutures close
BACK,Employee lifted hp electric motor walked put maintenance shop work bench lower right side back stated hurting Carried employee doctor said pulled muscle lower right back
FINGER(S),Employee holding onto elbow fitting attaches unloading valve rail car The second employee attempted strike upper part fitting hammer first employee left hand hit employee received four stitches left handlittle finger
FINGER(S),While splicing continuous miner cable utility knife employee using slipped cut right thumb causing receive sutures
FINGER(S),MS EMPLOYEES WERE MOVING CRIBBING AT THE CF HARDEE BUCKET YARD EES WERE WORKING TOGETHER STACKING CRIBBING ON A FORKLIFT WHILE STACKING THE CRIBBING INJURED EE GOT THE PINKY AND RING FINGER ON HIS LEFT HAND CAUGHT IN A PINCH POINT
FINGER(S),EE cutting belt head drive injured EE holding belt belt knife cut belt cut EEs right thumb
HAND,While working IR Drill pounding pin hammer metal fragment broke cut palm employees right hand
EYE(S),volt battery personnel carrier arced worked resulting flash eyes maybe acid face
FINGER(S),EE assisting repair placing rib rail Joy Miner
BACK,Employee experienced pain lower back It unknown time cause pain
SHOULDER,EE cleaning rust tank using lb grinder complained shoulder hurting next day relief supervisor On Monday ee complained regular supervisor took clinic Modified duty prescribed TCM entirely know work related due circumstances investigation pending It reported
ANKLE,Electrician wiring starter box stepped inch rock rolling ankle causing small bone break
BACK,Employee strained back carrying fivegallon buckets containing samples cement
HAND,EE plugging motor battery cable shorted
HAND,Grease pump placed front section truck secured properly EE moved jack rear section truck hit power cable grease pump caused fall hand
KNEE,Employee getting SUV return work area driver pulled away quickly causing employee loose footing causing pain right knee Employee started losing time
BACK,The EE Hanging Miner Cable injured back
SHOULDER,Employee lifting miner cable put sling felt pain right shoulder
KNEE,Truck driver Evergreen Transportation Contractor XZV slipped stepping truck injured right knee
KNEE,Employee stated walking James Creek barrier airway slipped muddy surface twisted right knee The employee start missing work August rd diagnosis received August th showing torn ligaments torn meniscus The Doctor took employee work schedule surgery
KNEE,Injured employee roof bolting left side continuous miner North Mains section He states struck ATRS pad causing knocked machine resulting bruise right knee This incident deemed reportable
HAND,Miner lacerated left hand using utility knife
FINGER(S),Employee watching rocks drop conveyor rock hit left index finger Employee received laceration accident doctor placed employee restricted duty Employee also prescribed splint wear left index finger
KNEE,EE climbing water truck stepped ground foot slipped left knee struck step truck Knee started hurting days went doctor Doctor put work pending MRI
FINGER(S),While attempting retrieve tieoff line barge seperate haul line came free smashed left thumb line permanent structure This incident resulted fractured right thumb along several stitches
SHOULDER,He handling power center lid belt felt pain left shoulder He started missing work
FINGER(S),EE hand handrail directing suspended kiln hood lifted handrail The load shifted catching finger kiln hood handrail
KNEE,Had repaired drill watching drill make sure repairs worked hose blew apart Took running get away blew left knee
MULTIPLE,Employee moving portable walkway
ANKLE,Employee stepping ladder Highloader Rt foot got caught last step causing step LT foot sideways He sprain Lt Ankle They put boot active He told take counter meds pain
HAND,Employee lost footing sledge hammer hands fell injured knuckles right hand
BACK,Employee applying plaster stopping stepped back causing slip fall backwards onto cement block injuring back
FINGER(S),EE scooped insert full bolts take section While turning back crosscut pinched left hand little finger deck coal rib This caused laceration required sutures This report medical treatment NO days missed
HAND,Employee cutting open box cut left palm thumb required sutures
BACK,On EE lifting bearing shelf experienced back pain The ER doctor said pulled muscle told take Ibuprofen He worked every scheduled shift went personal doctor At time ordered tests placed restricted duty He return work time event became reportable
KNEE,Employee performing weed spraying slight grade felt minor stinging sensation left knee Later shift entering pickup truck employee reports pop back left knee The employee worked seen physician diagnosed torn ACL Employee issued work restrictions likely require surgery
FINGER(S),Two employees lifted gallon grease barrel FuelLube truck The employee right side bumped open door compartment barrel became unstable When employee left made correction left small finger became pinched bottom barrel floor truck The finger required medical attention five stitches
SHOULDER,While bending six foot bolt employee felt sharp pain right shoulder This resulted shoulder labral tear resulted lost time accident
KNEE,Employee stepped chunk rock pit moving pump The chunk rolled foot employee twisted left knee
EYE(S),Welder using air chipper felt discomfort right eye Reported discomfort eye irritated
MULTIPLE,EE working clear pant leg Lime silo slacker feeder belt Lime dust escaping inspection port ee installed air lance get lime flow The perspiration ees skin caused lime activate dust landed arm neck Treated st nd degree burns neck left forearm
ANKLE,Exiting excavator slipped landed feet spraining ankle
KNEE,Removing cement chunks withdrawal silo In kneeling position Stood started walk stairs felt pop left knee He felt knee would ok couple days He stated wanted see doctor No restrictions medications time Dr visit prescribed medication therapy restrictions
EYE(S),Employee got loader Didnt safety glasses Got something eye rubbed started hurting
EYE(S),Miner welding piece steel When miner done lifted hood The metal must still hot piece popped stuck eye The miner felt injury deed problem The evening miner felt condition worsening He went doctor next day Doctor removed fragment Miner OK work
BACK,The injured employee assisting another employee reinstall tire lube truck The injured employee lifting dolly help position tire felt pain lower back A Doctor diagnosed Lumbar Spine pain
FINGER(S),Employee changing belts motor tip right index finger caught belt pulley fracturing tip right index finger Local MSHA office called within minutes notification
FINGER(S),Tryed move rock using hands another rock fell finger
FINGER(S),Employee repositioning jack leg drill setup drill got away pinched left middle finger drill rib causing laceration side finger requiring sutures
BACK,Washing trackhoe
HAND,Employee attempting remove pin dozer push arm tilt cylinder The push arm supported crane cylinder still pinned When pin driven cylinder dropped approximately dozer push arm As dropped forced tool used drive pin pinching employees hand cylinder bore
ANKLE,Mechanic walking man door He stepped appeared water running near trench He slipped twisted right foot rolled ankle fell floor
HAND,EMPLOYEE WAS REMOVING A SEAL AIR PIPE AND GUIDING PIPE WHEN THE PIPE CAUGHT SIDE OF HIS HAND CUTTING THE PALM
SHOULDER,Injured left shoulder replacing fan clutch haul truck Employee supporting majority weight fan clutch left hand guiding part right hand felt sharp pain right shoulder
SHOULDER,Emp working Shaft scaling He deep He struck left shoulder piece rebar The rebar long The Constructors crew cutting rebar piece cut flew shaft hit emp
FINGER(S),EMPLOYEE STATES THAT AS HE WAS PLACING A CRIB BLOCK UNDER THE EMULSION TANK HIS FINGER CAUGHT BETWEEN THE BLOCK AND THE TANK RESULTING IN AN AVULSION TO THE TIP OF HIS LEFT INDEX FINGER
BACK,Employee injured O van hit pothole
BACK,EE assisting repairs Using wrench wrench slipped ee slipped fell backwards sitting position onto rock concrete EE incurred bruised muscled back EE preexisting herniated disk back He currently completing physical therapy ee taken hsp observation EE instructed rest stretch muscles
SHOULDER,Miner standing frame rail feed hopper approx ground His feet slipped rail reached grab cross member prevent fall This resulted jarring motion strain left shoulder
FINGER(S),Moving jackstand caught finger burr jackstand cut finger received sutures
EYE(S),EE installing balance ropes underground lot airflow coming blowing debris around EE received debris eye
SHOULDER,Employee loaded Shovel bucket struck right rear truck injuring employees left shoulder Employee transported Logan Regional Medical Center referred specialist Specialist took employee work sprained left shoulder
FINGER(S),EE welding end loader bucket using bottle jack hold piece metal place cut ring finger hand jack handle stitches
FINGER(S),We inadvertently didnt include project MSHA quarterly As per MSHA directive amended nd quarter also filing initial reportable injury EE rigging beam After raised wind blew beam began swinging EEs L hand connection made causing FX L middle ring fingers
KNEE,Stretching data line BeltTrack entry stepped hole overextended knee Did start missing
KNEE,Employee walking tripped jumper air hose going ram car jump car Employee treated taken work
FINGER(S),EE loading eight inch water couplings diesel ride smashed small finger right hand couplings steel post ride Transported Ohio county received four stitches After leaving hospital released return work date
EYE(S),Employee welding piece metal flew right eye Pain welding
SHOULDER,Employee strained right shoulder relocating magnetic drill
BACK,Employee stated forklift backing connect compressor forklift backed rock causing forklift jump Employee stated noise caused jump twist back
KNEE,Climbing chute lost footing side chute Came rock turned knee required surgery two months later
FINGER(S),Bates Contractor bolting top swung drill station catching right ring finger platform TBar resulting stitches
FINGER(S),EE helping change deck bushing guiding bushing place slipped pinching middle finger right hand
EYE(S),Employee fire watching welder wind blowing multiple directions felt particle left eye Particle embedded removed eye
HAND,Employee struck right hand piece steel dislodged drilling
KNEE,Employee stated walking outby section roadway stepped slick rock twisted right knee This resulted knee strain restricted work days
EYE(S),dust wind
KNEE,Employee process tramming continuous miner twisted feet place watch tail miner felt pain right knee Employee seen local physician removed work pending MRI results
KNEE,Employee alleges performing work kneeling knee pads When stood felt cramp behind left knee Employee able return work normal duties His injury became reportable lost time
EYE(S),Employee working Pipeline process refinery As looking see route run new pipe strip solution contained caustic chemicals dripped struck employees safety glasses splashed left eye He taken NNRH eye flushed He slight abrasion eyedrops prescribed
MULTIPLE,Piece draw rock fell scraping EE face causing laceration lip also scraping legs causing laceration left leg knee This injury required stitches lip leg
BACK,The driver Lynden Transport vendor unloading conex delivering shop When tried undo chain binder release binder pushed backwards trailer He landed ground back Per vendors representative may bruised back This driver employee
FINGER(S),Open wound left index finger manually rotating adjustment ring position crusher finger pinchedpulled guide roller
KNEE,Haul truck operator stepping cab smoke break slipped rocks deck felt pop knee felt pain He waited hour later reported supervisor He taken ER taken work see orthopedic specialist CURRENTLY ONGOING
MULTIPLE,Employee reporting pain lower back right leg began July got progressively worse He operates loader waste storage area uneven digging conditions
SHOULDER,Employee stepping push arm dozer foot slipped causing pain left shoulder It dark muddy The slip caused shoulder strain
ANKLE,Employee walking beside track rail tripped track twisted right ankle
MULTIPLE,Employee operating continuous miner piece draw rock fell striking employee head shoulder
BACK,Employee fell climbing catwalk resulted compression fracture
MULTIPLE,Employee moved refuge chambers hooking lifelines After crawling belt line stood felt pain lower back right leg felt cold
FINGER(S),Employee bending foot roof bolt Bolt bent upwards caught right ring finger roof bolt top
SHOULDER,Employee picked sheave pulley weighed pounds turned part using right hand locate part number sheave felt pain right shoulder
BACK,Victim pulling cable fell Did report back began hurt Went dr L vertebra line Has appt physical therapy
KNEE,Miner completed greasing tail pulleys walking concrete floor miner slipped fell injuring right knee
BACK,Miner quality control lab manager carrying gallon bucket water across lab dump He sat obtain better grip Upon lifting felt pop back This resulted acute low back strain treated meds physical therapy
BACK,Transporting thick steel plate forklift He parked forklift next stands going hold sheet He grabbed sheet started slide forks support stands The pulling motion caused stiffness pain mid back region
MULTIPLE,Employee passenger crew bus hit large pothole jarred employee around seat She seen initially diagnosed strain released full duty She seen give prescription physical therapy making reportable treatment
ANKLE,Employee coming ladder left boot hung lower step caused twisting action left knee pain His leg buckled stepped air hose rolling right ankle popped release full duty Reliance Medical reported knee painful time released restricted duty
EYE(S),Employee placed hatch cover center drop box door line grate water splashed around door deflected grate structure entered around safety glasses right eye prescription meds dispensed
KNEE,IE working fine refuse vibratory screen climbing work area felt pop left kneeand continued working On injured sought medical attention initially diagnosed strain left knee pending MRI results On injured taken work His first missed shift
MULTIPLE,While knocking pins Right Angle Conveyor Pasco Highwall Miner slate bar pins came causing slate bar strike employee hand face
KNEE,Emp completed task using bobcat exiting machine stepped uneven surface causing Rt leg twist Emp continued full duty work treating Rt knee pain counter medications Continued discomfort required examination showed Rt knee meniscus tear Surgery Lost time began due emp shift
SHOULDER,Employee pulling slack shuttle car cable felt pain shoulder
ANKLE,Employee stepped skidloader rut rolled left ankle
KNEE,Employee carrying grease gun feeder He stepped rock ankle rolled causing twist knee Employee continued work regular duties He worked restricted duty began missing work
MULTIPLE,Employee exiting loader lost grip fell ground injuring neck back Employee returned work light duty scheduled MRI neck back
BACK,EE alleges lower back injured prying upwards slate bar performing maintenance repairs cont miner Two EEs working stated never took place IEE never informed either injured EE rec treatment next day St Francis taken work Dr
BACK,EE working inside material chute He using cutting torch refabricate shoot A piece slag fell shirt He moved quick twisted knee EE strained MCL
FINGER(S),Employee incurred finger pinky laceration requiring sutures Employee alleges walking past metal fabrication table underground shop struck drill bit lying table
HAND,Employees left hand struck rock hand resting handrail Broken bones lacerations
MULTIPLE,Loading holes Anfo Pot hose came hole striking ee head neck
EYE(S),While welding grinding trailer piece metal bounced trailer came behind safety shield A piece metal got eyelid scratched cornea caused infection
FINGER(S),Employee part crew moving water pipes He holding pipe valve another crew member moving different pipe employees right pinky finger got pinched two pipes
KNEE,Employee stepped piece rock twisted right knee
KNEE,Eye bolt broke loose bucket striking employee leg He attempting pull bucket together weld crack
SHOULDER,Driller lifting gallon compressor oil put reservoir drill maintenance felt pain shoulder area went hospital said strain tendon
KNEE,Great River Material EE standing next endloader time blasting rock ledge A piece fly rock blast struck right leg knee level breaking leg
FINGER(S),During process pulling core barrel degree angle hole driller lowered head employees left index finger pinched head rail drill mast resulting open fracture tip employees finger
BACK,Pulled lower back
BACK,Employee opening overhead garage door The door stuck employee jerked upward free stuck door He felt pop upper back pain
FINGER(S),While removing fuse fuse holder fuse fell hot stick approximately striking employees right index finger causing laceration
BACK,Worker lifting stacking stone felt pain lower back He continued work rest day reporting injury following morning Went cliniclumbar strainrestricted duty meds
HAND,EMPLOYEE TRIPPEDAND WHILE TRYING TO BREAK HIS FALLGRABBED THE WALL WHERE A NAIL WAS EXPOSED AND CUT HIS HAND ON THE WALL
FINGER(S),While cutting wood circular saw hit knot saw jump back cutting right thumb He received stitches
BACK,Employee stated experiencing soreness right knee days He could identify one specific incident act may cause injury knee This diagnosed right knee strain
FINGER(S),Left hand pinched man basket rail forklift
HAND,Employee making cable splice using lb hammer hit knocker The side anvil broke A piece metal splintered cut skin metal embedded behind left thumb The doctor removed piece metal put one stitch close wound
FINGER(S),Employee walking belt line fell tried catch injured right ring finger
BACK,While operating dozer backed large rock caused pain lower back
EYE(S),IE washing noticed leak coming pipe While placing magnet leak material shot striking face IE received first aid treatment went home condition worsened Went ER diagnosed corneal abrasion He went ophthalmologist next day given prescription eye drops patched eye
FINGER(S),The man crawling beside scoop tractor When slid hand along scoop bucket lacerated finger sharp burr bucket
KNEE,Employee c tail kneeling watching belt left knee went stand pushed right leg felt right knee pop He taken hospital Xrays show anything released till could get MRI done
FINGER(S),Employee using jackleg drill pinched right fingers jackleg drill handle head He seen ER diagnosed fractured right ring finger Surgery required place pin finger
KNEE,Walking belt line slipped resulting hyper extended knee
EYE(S),Cleaning inside washer liquor tank th deck water hose Caustic mud splashed back EE cleaning tank appropriate PPE employed EE began cleaning hard hat face shield still donning hard hat shield removed goggles clean face time mud fell eye
SHOULDER,Employee walking towards machine forklift driver crossed employees path Employee tried block impact forearm Employee sustained shoulder strain restricted duty assigned
ANKLE,Employee descending stairs rd floor preheat tower Employee stepped bottom stair deformed catwalk section causing right ankle roll laterally causing sprainstrain
SHOULDER,Employee loading truck lime The truck became overfilled spout plugged The employee haste pulled closing mechanism tore rotator cuff left shoulder
FINGER(S),Employee used hand help guide drill bit become stuck When drill started employees glove became entangled bit causing fingertip amputation left hand fourth fingertip
FINGER(S),I changing bit angle drill forgot unplug When I went tighten chuck I squeezed switch drill chuck key went thumb I changed bit several times job always unplugged drill forgot time
FINGER(S),Beltman pushing top assembly bed rail top roller assembly rolled pinching left ring finger top assembly roller top belt Employee received sutures
MULTIPLE,Reestablishing angle repose spoil bank Bench collapsed excavator fell mine pit Operator received broken ribs fractures orbital socket laceration right eye
KNEE,Employee stepped pick truck started walking noticed pain right knee No event occurred Employee placed restrictions
BACK,Employee repairing faulty switch dash service truck
FINGER(S),Employee lacerated hand requiring stitches cutting zip tie
BACK,Worker changing bearing guard leaning handrail blown wind onto workers back He reported incident fine little pain great pain reported He sent medical evaluation Doctor wanted weeks light duty worker Worker reported history back issuespain recreational activities outside work
FINGER(S),EE checking set batteries taken underground shut lid left middle finger caught underneath causing laceration
FINGER(S),Employee trying loosen bolt bolt broke loose hit left knuckle middle finger stud
ANKLE,Walking heading area twisted ankle
FINGER(S),Attempting close door equipment pinched right thumb hinge door
EYE(S),While repairing air leaks Bag house employee hooking air hose crowfoot fitting building plumbing The air pressure bleed valve The pipe disturbed dust debris fell His right eye irritated rubbed sticking dust eyeball
BACK,The haul truck operator stated felt pain back running pot hole Reported injury
FINGER(S),EE changing cutting edge JD While holding edge one hand removing bolt bolt spun It cut glove cut finger First aid admin EE taken hospital care
BACK,Employee putting hydraulic hose back hose reel went fast tried stop twisted back causing muscle spasms lower right side back
HAND,Chain broke using set comealongs hitting hand
SHOULDER,While building brattice leaned trailer pick block felt pain left shoulder He continued work fulltime wo restrictions put surgery
SHOULDER,Employee reports backing stationary roof support pole operating forklift The employee reported neck shoulder pain denied medical attention time event The employee request medical evaluation pain persisted The employee diagnosed right shoulder rotator cuff strain prescribed physical therapy
BACK,On Mine Operator received notice treating medical provider preventing EE work retroactive EE work nonoccupational disability claiming condition occupational
SHOULDER,EE kneeling beside scoop changing steering jack new jack rolled top scoop He attempted catch jack strained shoulder The ee contuinued work full duty time called mines stated gone doctor would work week This accident became reportable date days work
HAND,Employee helping test fit pin detached bucket Hyundai Hoe new bosses welded onto The bucket side assist pin insertion The pin became jammed new boss jiggling free came loose slid quickly bosses His hand pinched bucket pin
FINGER(S),Employee loading rail onto belt rail pinched middle finger right hand
BACK,Employee operating Dozer running fill said back hurting
EYE(S),Employee welding drum dragline He completed job picked tools walking dragline go lunch He wearing safety glasses side shields As stepped light felt something eye He taken eye doctor small piece metal rust ring removed eye
BACK,Was walking back truck taking piezometer readings Dam Moss facility As crossing spillway slipped slick surface slid culvert drain emptied spillway carrying EE another approx A large rock spillway stopped slide threw EE spillway Rock hit tailbone movement right side hip stiff sore
MULTIPLE,Driver rd trip pit st trip break test done still high gear unable slow stop truck ran pile agg ore next underground mine wall
KNEE,The employee twisted right knee removing stuck boot mud
FINGER(S),EE removing drive pulley guard shifted pinched finger guard support leg causing laceration EE received several sutures
FINGER(S),Employee removing plastic right hand look kiln sealed parts inside box cut middle finger metal strap securing parts
ANKLE,Employee unloading supplys rail car tripped rail twisted right ankle
BACK,Employee sitting bottom slope Another employee sitting top slope When stood rock approximately diameter rolled slope hit employee back Slope approx ft
ANKLE,Moving fast I climbing ladder slipped step
